-20,-197.7324613,484.4316707,137.9097069,314.495649,225.0695994,270.9156295,247.9723474,260.0092651,254.2574036,257.5508999,256.2440318,257.2759372,257.1179194,257.5643959,257.7028687,257.9973632,258.2119138,258.4665149,397.4179615,392.2452393,388.7022552,386.2755422,384.6134022,383.4749448,382.6951757,382.1610847,381
-19,-180.6214706,434.8384259,122.2054832,281.526711,200.8487498,242.2148628,221.5184344,232.3815531,227.1954181,230.1701072,228.9942873,229.9285313,229.789207,230.1952594,230.3234217,230.5923434,230.7891333,231.0220519,358.1772389,353.3954247,350.1201876,347.8768639,346.3403336,345.2879106,344.5670695,344.0733403,343
-18,-164.2554344,387.9315208,107.4440545,250.3885356,178.0084488,215.1249219,196.5595783,206.3090986,201.6594042,204.3315037,203.279808,204.1212325,203.9994583,204.3669844,204.4851855,204.7296689,204.9094311,205.1216024,320.9847596,316.5786536,313.5607527,311.4936875,310.0778828,309.1081489,308.4439444,307.9890077,307
-17,-148.6343527,343.7109553,93.62542087,221.0811228,156.5486965,189.645807,173.0957791,181.7919015,177.6493619,180.0350895,179.1005941,179.8540408,179.7486731,180.079571,180.1881599,180.4093396,180.5728072,180.7651661,285.8405237,281.7949261,279.0239505,277.1260131,275.8260497,274.9356597,274.3258006,273.9080869,273
-16,-133.7582255,302.1767294,80.74958226,193.6044726,136.4694928,165.777518,151.1270368,158.8299619,155.1652913,157.2808646,156.4566454,157.1269562,157.0368515,157.3330193,157.4323451,157.6313557,157.7792617,157.9527432,252.744531,249.0442422,246.509781,244.7738405,243.5848345,242.770443,242.2126379,241.8305779,241
-15,-119.6270527,263.3288432,68.81653869,167.958585,117.7708377,143.520055,130.6533513,137.4232798,134.2071922,136.0688291,135.347962,135.9399788,135.8639936,136.1273291,136.217741,136.3957171,136.5287944,136.6843337,221.6967817,218.3266018,216.0182442,214.4371698,213.3542371,212.6124988,212.1044565,211.7564806,211
-14,-106.2408345,227.1672967,57.82629016,144.14346,100.4527313,122.8734178,111.6747228,117.5718552,114.7750648,116.3989828,115.7745439,116.2931086,116.2300992,116.4625004,116.5443476,116.7024237,116.8214054,116.9599375,192.6972758,189.6420049,187.54934,186.1160011,185.1342574,184.4618271,184.0012562,183.6857951,183
-13,-93.59957072,193.6920898,47.77883667,122.1590976,84.5151735,103.8376065,94.19115107,99.27568801,96.868909,98.27132586,97.73639107,98.18634543,98.1351685,98.33853342,98.41216499,98.55147571,98.6570947,98.77955463,165.7460131,162.9904517,161.1030685,159.8103342,158.9248956,158.3184279,157.9030371,157.6185215,157
-12,-81.70326144,162.9032225,38.67417822,102.0054978,69.95816433,86.41262121,78.20263625,82.53477833,80.48872479,81.68585821,81.23350355,81.61968943,81.57920137,81.75542798,81.82119305,81.94287299,82.03586232,82.14318512,140.8429938,138.371942,136.6794297,135.5201693,134.7261515,134.1823012,133.8097992,133.5546596,133
-11,-70.55190664,134.8006949,30.51231481,83.68266055,56.78170379,70.59846179,63.70917832,67.34912612,65.63451221,66.64257987,66.26588132,66.59314056,66.56219785,66.71318414,66.77143184,66.87661558,66.95770823,67.05082895,117.9882178,115.7864758,114.2784236,113.2455063,112.5380253,112.053447,111.7215424,111.4942095,111
-10,-60.14550633,109.384507,23.29324644,67.1905859,44.98579188,56.39512828,50.71077727,53.71873139,52.30627123,53.14149083,52.83352438,53.10669882,53.08415793,53.21180187,53.26288135,53.35270346,53.42263244,53.50248613,97.18168518,95.2340532,93.90005018,92.98634515,92.36051682,91.93186525,91.6382669,91.43717118,91
-9,-50.48406051,86.65465867,17.01697311,52.52927385,34.5704286,43.80262069,39.20743309,41.64359413,40.50400187,41.18259109,40.93643274,41.16036422,41.14508163,41.2512812,41.29554158,41.37113665,41.43063495,41.49815665,78.42339585,76.71467415,75.54430942,74.74268594,74.19362616,73.81755604,73.55997254,73.38354466,73
